42.4 7713.1641 -1.3819
42.6 7061.5245 -0.6349
42.8 6902.9947 0.2332
43.0 7395.9879 1.0762
43.2 8173.0807 1.7607
43.4 8856.9398 2.3134
43.6 9278.2455 2.7957
43.8 9368.0013 -3.0326
44.0 9114.6254 -2.5698
44.2 8557.3435 -2.0626
44.4 7812.0227 -1.4675
44.6 7126.1983 -0.7395
44.8 6884.5324 0.1185
45.0 7305.7377 0.9754
45.2 8072.8350 1.6813
45.4 8781.2270 2.2472
45.6 9241.7637 2.7359
45.8 9375.9170 -3.0910
46.0 9165.7546 -2.6311
46.2 8643.2085 -2.1319
46.4 7911.6251 -1.5509
46.6 7198.3911 -0.8417
46.8 6878.1068 0.0039
47.0 7221.2195 0.8717
47.2 7971.2677 1.5997
47.4 8701.2630 2.1797
47.6 9199.7832 2.6755
47.8 9378.0499 3.1339
48.0 9211.6032 -2.6918
48.2 8725.4333 -2.1999
48.4 8011.2856 -1.6321
48.6 7277.1523 -0.9415
48.8 6883.6727 -0.1103
49.0 7143.6478 0.7654
49.2 7868.9721 1.5155
49.4 8617.3101 2.1109
49.6 9152.4004 2.6146
49.8 9374.3941 3.0756
50.0 9252.0555 -2.7519
